sample,words_32b,words_235b,distinct2_32b,distinct2_235b,avg_turn_length_32b,avg_turn_length_235b,switch_rate_32b,switch_rate_235b,num_turns_32b,num_turns_235b,clipscore_32b,clipscore_235b
sample_01_story_48269,1015,923,0.8175542406311637,0.8665943600867679,82.58333333333333,32.18518518518518,11.099899091826439,29.919447640966627,12,27,19.642288970947266,19.642288970947266
sample_02_story_50221,964,851,0.8026998961578401,0.8292108362779741,33.7037037037037,28.392857142857142,28.57142857142857,33.9622641509434,27,28,22.035326385498045,22.035326385498045
sample_03_story_48383,1007,926,0.8081510934393639,0.8562162162162162,53.94444444444444,35.04,17.507723995880536,27.397260273972602,18,25,20.342074966430665,20.342074966430665
sample_04_story_48025,885,909,0.8665158371040724,0.8535242290748899,50.05882352941177,51.470588235294116,18.80141010575793,18.28571428571429,17,17,22.598635482788087,22.598635482788087
sample_05_story_50208,982,904,0.799184505606524,0.8294573643410853,59.375,48.22222222222222,15.789473684210527,19.585253456221196,16,18,22.78501205444336,22.78501205444336
sample_06_story_50242,1191,979,0.8428571428571429,0.8445807770961146,39.06896551724138,49.526315789473685,24.71315092674316,19.128586609989373,29,19,20.78088493347168,20.78088493347168
sample_07_story_46019,904,932,0.7851605758582503,0.8279569892473119,51.1764705882353,40.36363636363637,18.39080459770115,23.64864864864865,17,22,20.414910888671876,20.414910888671876
sample_08_story_48945,1149,960,0.7918118466898955,0.8686131386861314,40.55555555555556,20.857142857142858,23.744292237442924,46.80365296803653,27,42,20.53160629272461,20.53160629272461
sample_09_story_46402,787,933,0.816793893129771,0.8830472103004292,54.214285714285715,28.096774193548388,17.127799736495387,34.44316877152698,14,31,19.881824111938478,19.881824111938478
sample_10_story_48835,891,913,0.8101123595505618,0.8662280701754386,97.0,33.11538461538461,9.16380297823597,29.036004645760745,9,26,19.5487361907959,19.5487361907959
sample_11_story_46729,950,945,0.8229715489989463,0.8940677966101694,37.583333333333336,37.375,25.498891352549887,25.64102564102564,24,24,20.90882987976074,20.90882987976074
sample_12_story_47023,921,983,0.8478260869565217,0.8472505091649695,44.05,23.86842105263158,21.56640181611805,40.79382579933848,20,38,21.45696907043457,21.45696907043457
sample_13_story_47306,935,910,0.8190578158458244,0.8888888888888888,42.523809523809526,45.89473684210526,22.396416573348265,20.642201834862387,21,19,18.917008209228516,18.917008209228516
sample_14_story_50185,999,957,0.7775551102204409,0.8179916317991632,43.40909090909091,27.90625,21.98952879581152,34.71444568868981,22,32,19.089959716796876,19.089959716796876
sample_15_story_47277,896,931,0.7810055865921788,0.8193548387096774,57.733333333333334,42.333333333333336,16.166281755196305,22.497187851518557,15,21,22.16535186767578,22.16535186767578
sample_16_story_49323,1103,895,0.8121597096188747,0.8612975391498882,120.55555555555556,42.75,7.373271889400922,22.22222222222222,9,20,20.33054962158203,20.33054962158203
sample_17_story_48191,1053,1054,0.8688212927756654,0.8679962013295347,0.0,53.473684210526315,0.0,17.716535433070867,0,19,18.920073318481446,18.920073318481446
sample_18_story_50132,1144,966,0.8439964943032428,0.8652849740932642,0.0,30.2,0.0,32.00883002207505,0,30,18.142522048950195,18.142522048950195
sample_19_story_45571,997,931,0.8744979919678715,0.886021505376344,0.0,47.0,0.0,20.156774916013436,0,19,20.737427520751954,20.737427520751954
sample_20_story_47325,923,907,0.8167028199566161,0.8598233995584988,0.0,39.22727272727273,0.0,24.33371958285052,0,22,20.27522850036621,20.27522850036621
sample_21_story_49738,1024,977,0.8387096774193549,0.8596311475409836,24.94736842105263,20.72093023255814,39.029535864978904,47.13804713804714,38,43,20.721573638916016,20.721573638916016
sample_22_story_50285,944,880,0.8282078472958643,0.8452787258248009,45.2,39.904761904761905,21.01769911504425,23.86634844868735,20,21,20.037294387817383,20.037294387817383
sample_23_story_50522,948,957,0.778247096092925,0.852510460251046,50.666666666666664,26.147058823529413,18.640350877192983,37.120359955005625,18,34,19.78234443664551,19.78234443664551
sample_24_story_47720,970,861,0.8173374613003096,0.8244186046511628,55.05882352941177,48.64705882352941,17.094017094017097,19.347037484885124,17,17,18.423762130737305,18.423762130737305
sample_25_story_45815,916,919,0.774863387978142,0.8594771241830066,74.33333333333333,41.76190476190476,12.331838565022421,22.80501710376283,12,21,19.382799530029295,19.382799530029295
sample_26_story_47812,918,971,0.7938931297709924,0.8494845360824742,129.14285714285714,29.322580645161292,6.6371681415929205,33.003300330033,7,31,19.221537780761718,19.221537780761718
sample_27_story_48428,934,971,0.8231511254019293,0.8731958762886598,36.916666666666664,33.96296296296296,25.959367945823928,28.353326063249728,24,27,18.42977809906006,18.42977809906006
sample_28_story_49596,948,821,0.8141499472016895,0.8695121951219512,103.33333333333333,41.21052631578947,8.602150537634408,22.988505747126435,9,19,24.22935562133789,24.22935562133789
sample_29_story_49751,789,930,0.868020304568528,0.8772874058127018,50.6,44.5,18.44532279314888,21.348314606741575,15,20,19.384100723266602,19.384100723266602
sample_30_story_49586,939,939,0.8017057569296375,0.8400852878464818,50.166666666666664,32.77777777777778,18.826135105204873,29.37853107344633,18,27,22.18442726135254,22.18442726135254
sample_31_story_49431,980,883,0.7568947906026557,0.8582766439909297,59.25,34.791666666666664,15.822784810126583,27.544910179640716,16,24,21.83152618408203,21.83152618408203
sample_32_story_50257,947,879,0.8477801268498943,0.835990888382688,61.13333333333333,44.26315789473684,15.267175572519083,21.40309155766944,15,19,20.727379989624023,20.727379989624023
sample_33_story_49160,1090,933,0.8328741965105602,0.8873390557939914,88.83333333333333,49.833333333333336,10.318949343339586,18.9520624303233,12,18,19.104606056213377,19.104606056213377
sample_34_story_47680,919,918,0.840958605664488,0.8440567066521265,74.58333333333333,46.31578947368421,12.290502793296088,20.454545454545453,12,19,20.36611442565918,20.36611442565918
sample_35_story_49492,868,894,0.7831603229527105,0.8241881298992161,41.4,40.57142857142857,22.946859903381643,23.474178403755868,20,21,18.368341064453126,18.368341064453126
sample_36_story_50403,1004,988,0.7357926221335992,0.8226950354609929,50.8421052631579,28.875,18.633540372670808,33.549783549783555,19,32,20.31321487426758,20.31321487426758
sample_37_story_45545,993,877,0.8296370967741935,0.8710045662100456,60.0625,22.36111111111111,15.608740894901144,43.47826086956522,16,36,22.180799865722655,22.180799865722655
sample_38_story_47650,984,786,0.8209562563580874,0.8802547770700637,138.57142857142858,30.75,6.185567010309278,31.165311653116532,7,24,19.89361152648926,19.89361152648926
sample_39_story_46443,951,891,0.8431578947368421,0.8213483146067416,61.4,61.642857142857146,15.20086862106406,15.063731170336037,15,14,20.05552101135254,20.05552101135254
sample_40_story_47963,1003,915,0.782435129740519,0.9004376367614879,29.34375,41.57142857142857,33.01384451544196,22.909507445589917,32,21,22.459093856811524,22.459093856811524
sample_41_story_47048,1111,888,0.7936936936936937,0.8331454340473506,56.473684210526315,40.285714285714285,16.775396085740912,23.64066193853428,19,21,19.669851303100586,19.669851303100586
sample_42_story_48892,1058,916,0.8666035950804163,0.8120218579234972,60.23529411764706,46.21052631578947,15.625,20.50113895216401,17,19,19.29580154418945,19.29580154418945
sample_43_story_50000,856,989,0.8467836257309942,0.8502024291497976,75.81818181818181,22.121951219512194,11.990407673860911,44.10143329658214,11,41,20.578270721435548,20.578270721435548
sample_44_story_46419,1048,769,0.8185291308500477,0.8763020833333334,129.0,32.95454545454545,6.782945736434108,28.965517241379313,8,22,21.408176040649415,21.408176040649415
sample_45_story_46550,1060,948,0.7960339943342776,0.8173178458289335,56.888888888888886,43.142857142857146,16.6015625,22.07505518763797,18,21,15.444992637634277,15.444992637634277
sample_46_story_45552,935,955,0.8329764453961456,0.8584905660377359,83.0,57.6875,10.95290251916758,16.25135427952329,11,16,22.60628890991211,22.60628890991211
sample_47_story_49335,984,966,0.7843336724313327,0.8360995850622407,59.5,33.77777777777778,15.756302521008402,28.508771929824558,16,27,20.998338317871095,20.998338317871095
sample_48_story_46528,877,863,0.7945205479452054,0.8538283062645011,44.1578947368421,32.52,21.454112038140643,29.520295202952028,19,25,20.62353057861328,20.62353057861328
sample_49_story_45530,954,888,0.8048268625393494,0.837471783295711,61.6,33.52,15.151515151515152,28.639618138424822,15,25,19.9526029586792,19.9526029586792
sample_50_story_46021,959,851,0.8048016701461378,0.8752941176470588,54.411764705882355,42.78947368421053,17.2972972972973,22.14022140221402,17,19,22.224357223510744,22.224357223510744
